title,text,label
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
Scientists discover time travel method,Physicists claim to bend time using device.,FAKE
Celebrity endorses miracle weight loss pill,Famous actor claims pill helps lose 20kg in a week.,FAKE
Breaking! Alien life found on Mars,Scientists confirm aliens in secret base.,FAKE
Shocking cure for cancer revealed,Miracle drink cures all diseases instantly.,FAKE
Government bans use of social media,New law restricts social media platforms.,FAKE
